"Gene.ID","moduleColor","GS.disease","p.GS.disease","MM.yellow","p.MM.yellow","MM.blue","p.MM.blue","MM.greenyellow","p.MM.greenyellow","MM.green","p.MM.green","MM.purple","p.MM.purple","MM.turquoise","p.MM.turquoise","MM.magenta","p.MM.magenta","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.pink","p.MM.pink","MM.red","p.MM.red"
"ENSG00000244227","black",-0.419646419780821,0.481814664934327,-0.255880416069081,0.677793944825766,0.691979640960875,0.195452957762079,0.179075338533601,0.773218741599354,-0.697873316266769,0.190056961210516,0.393278547730358,0.512487598181215,0.464265077020115,0.430860316953446,-0.233036679444537,0.705996336966038,-0.88971838367792,0.043228555981143,0.272347480044355,0.657572181728721,0.85650253157336,0.0638298979712211,0.154402348102847,0.804192767029847
"ENSG00000168329","black",-0.410356714049876,0.492575986486724,-0.265922459193324,0.665450913014872,0.76041780941153,0.135599243142147,0.0688303280703213,0.912431752454635,-0.756412425465122,0.138923145398512,0.24703347778888,0.688696237861083,0.537014316759362,0.350708550681677,-0.126672508920992,0.839147922906926,-0.953285829435154,0.0120348325690733,0.299071880827977,0.624965124201386,0.799570967033115,0.104415951870821,-0.0649266523690657,0.917390935650173
"ENSG00000111728","black",-0.407457456870024,0.495944712529633,-0.198580652196108,0.748830996757233,0.849488104253396,0.068491048007038,-0.172455201470823,0.781516523664387,-0.594313382609795,0.290564684935549,0.188184803789988,0.76181748057194,0.704482530541286,0.184057142876572,-0.253643551982308,0.680548032671365,-0.960789608118608,0.00926541117581816,0.0562261729495927,0.928448351298324,0.689589608279853,0.197653290016934,-0.22204775327986,0.71962077314614
"ENSG00000129048","black",-0.395776860505062,0.509564674470552,-0.250461271187321,0.684469018251823,0.710625224056525,0.178530309530469,0.153893845696756,0.804832473968297,-0.746186352698936,0.147515805753663,0.327668925628493,0.590389665649754,0.497015832071923,0.394295999452211,-0.163727443864657,0.792470897582019,-0.929439868658496,0.0222598467676164,0.320232888527734,0.599346931733955,0.844840155969741,0.0716354053102922,0.0463167574274244,0.941048764635246
"ENSG00000085063","black",0.39043292604038,0.515820998676599,0.221420404984052,0.720399654279819,-0.771200433322358,0.126770901354861,-0.0325496711346618,0.958563790812464,0.703931530463968,0.184555243237901,-0.275176197021991,0.654108140150202,-0.596113930801274,0.288722483641422,0.19351032716766,0.75516145287449,0.964202224773181,0.00808671366723555,-0.233710791389195,0.705161731303464,-0.800638378874455,0.103600699301361,0.0743435961383216,0.905430060524861
"ENSG00000136868","black",0.387037959948557,0.519803625710619,0.161031133903194,0.795858382975535,-0.713588511384715,0.175881417140938,-0.0843842438325817,0.89268628996274,0.551683332187124,0.335041322505449,-0.461939880912812,0.433484249217901,-0.586163446527363,0.298941100815732,0.404263235893274,0.499661692077554,0.891308393964143,0.0423075141177316,-0.0930875990438282,0.881648583596227,-0.842593278747012,0.0731710534541086,-0.154501926188085,0.804067501680581
"ENSG00000075886","black",0.372653206840632,0.536745934064628,0.222477640061379,0.719087115237551,-0.713657604562577,0.175819790008716,-0.139025729857897,0.823558830323412,0.735475789755276,0.156675521558315,-0.328118492114014,0.589848905501058,-0.532444599571714,0.355625179172711,0.175534684888741,0.777655412795815,0.944809927595823,0.0154346564662277,-0.30902882136691,0.612887821697388,-0.846154034742267,0.0707421203177743,-0.0162965176917538,0.979251547694146
"ENSG00000182179","black",-0.360531760275959,0.551104866158841,-0.277884598233922,0.650794169276456,0.756479163536376,0.138867567904341,-0.00557156770126815,0.992906096378863,-0.826580429931502,0.0844011234694061,0.0440837580043442,0.943889001365877,0.533599520427906,0.354380994977118,0.0751681156284152,0.904383187245766,-0.955205872627185,0.0113038321726167,0.394177535274797,0.511435426684663,0.689089775890136,0.198114327117138,-0.308825711033345,0.613133780162126
"ENSG00000184005","black",0.357419267605423,0.554803670429963,0.221266459781796,0.720590801573227,-0.831340666838743,0.0810112396650636,0.226264582322631,0.714388368474116,0.679477288278097,0.20703908035952,0.0215098613270295,0.972614905995223,-0.674529108846162,0.211675898944967,0.0268760931555175,0.965784415454052,0.952119166853687,0.0124862617639452,-0.178159963637804,0.774365490291534,-0.577499153338247,0.307913239904157,0.457233309784004,0.438806460243626
"ENSG00000186642","black",0.352807796472063,0.56029248529132,0.190959018231007,0.758349292902966,-0.811960852391357,0.09507377092926,0.115511753136061,0.853253593274824,0.680367234826004,0.206208185027036,-0.133241047226085,0.83085553943156,-0.681430233835567,0.205216947019847,0.131848524286531,0.832612911275081,0.981975884000821,0.00289692439129697,-0.188493574392485,0.761431377230113,-0.696974911213165,0.190876736060215,0.295893438353466,0.628828825640988
"ENSG00000137462","black",0.323729451632029,0.595132056474368,0.115017354359328,0.853878885696082,-0.838639551697503,0.0758976253656404,0.286842032644115,0.639853348611691,0.517303503568611,0.372034132891862,-0.101829194261495,0.870571458773856,-0.790662890199138,0.111294279615095,0.241581763270761,0.69542722898536,0.948269417420904,0.0140138019559541,0.0112224022356221,0.985711493619898,-0.593505481962287,0.291392267472827,0.392114700091505,0.513850414493849
"ENSG00000168434","black",-0.317166355944253,0.603047766942902,-0.153275184163141,0.805610832578788,0.833522427032189,0.0794719291752336,-0.330014204764581,0.58756963608216,-0.566773517786744,0.319113454904569,-0.0382338483774624,0.951331015398036,0.750558104953121,0.143823819209497,-0.0975617733211094,0.87597783421393,-0.927228612937193,0.0233064726358022,0.0534888409379319,0.931928381412347,0.509631068981025,0.380416832256701,-0.525452232922331,0.363180679983699
"ENSG00000119138","black",0.294037780359273,0.631086400963404,0.119793791163932,0.847839403056268,-0.716917355463433,0.172919339442909,-0.0804003430545101,0.89774150009542,0.669413089913759,0.216499941434578,-0.34204143913551,0.573146647550482,-0.651712031948829,0.233419887986034,0.241132725222682,0.695982059457237,0.97962059773552,0.00348168081804226,-0.241340179410474,0.695725721562126,-0.840786080819649,0.0744135007755442,0.0674806993732623,0.914146157170429
"ENSG00000169385","black",0.287428802132774,0.639137710808978,0.0974935193356567,0.876064323601483,-0.781438004342775,0.118554722696438,0.102432185539246,0.869807721030512,0.606031085679231,0.278631225052662,-0.219810986591686,0.722398339172354,-0.74940022777781,0.144798981780104,0.235183373554749,0.703339038587995,0.988669700618652,0.0014452948494674,-0.1300590876813,0.834871672064074,-0.729832230710237,0.161566021597978,0.260304436513885,0.672351951389069
"ENSG00000180353","black",0.281969085825767,0.645801552533285,0.0809917950371259,0.896990895967242,-0.793146758140987,0.109363083880843,0.157870317431948,0.79983136815727,0.564610632039452,0.32138434213463,-0.199125175848643,0.748151533554137,-0.779812432347745,0.119848309643575,0.256452898842717,0.677089358862998,0.980215105754623,0.00333074494882332,-0.0761358800421238,0.903154522499467,-0.694546668329087,0.193097445453287,0.299694248353558,0.624209047334833
"ENSG00000119917","black",-0.281349394665617,0.646558624129704,-0.127321712010466,0.838328024711532,0.666712741011215,0.219058313302318,0.175949572987943,0.777135382453316,-0.70536765592229,0.183257799008697,0.381256384771677,0.526600121749184,0.589289705528274,0.295720660993921,-0.214013182158222,0.729604565098615,-0.962365336144729,0.00871462990010871,0.316520763983902,0.603827409250382,0.879061207194382,0.0495613069689822,0.00853406262477628,0.989134225884726
"ENSG00000118985","black",0.273576730512832,0.656066487690726,0.0247496870175291,0.968490937190617,-0.805809574448949,0.0996786941050758,0.285425804383993,0.641581153910134,0.406084495512328,0.497541662383322,-0.206660025699158,0.738757427678471,-0.849158045028584,0.0687128838598931,0.381685030945695,0.526095623060239,0.930127199086518,0.0219377035397947,0.112882007688688,0.856579984098247,-0.614645101854135,0.269943323320499,0.320124183308307,0.599478053347647
"ENSG00000107821","black",-0.270704605937454,0.659585368145657,-0.16224652595841,0.794331247304852,0.749674478523531,0.144567833311122,-0.0785356493946476,0.900108192846722,-0.735513372591703,0.156643100395278,0.0528091848772574,0.932792523255419,0.656004967116892,0.229284279273641,0.00177130612593494,0.99774470417397,-0.974171133570601,0.00496366077957951,0.306187387347914,0.616330229408232,0.664360578420266,0.221293575606377,-0.400729567285914,0.5037803597936
"ENSG00000154721","black",-0.266486137990265,0.664759111857355,-0.111096171054758,0.858839478143112,0.749053462965662,0.145091402887204,-0.0325771632001337,0.958528805391157,-0.678004555288757,0.208416142510973,0.201811387230322,0.744800773299341,0.704141451342758,0.184365430968969,-0.151818010859141,0.807444448810824,-0.99584063208434,0.000321813100587288,0.237284480756122,0.700739544998648,0.751576276213334,0.142967918611768,-0.265711217721464,0.665710197748449
"ENSG00000196632","black",0.256735422742455,0.676741681982834,0.0964517395013824,0.877384507397553,-0.688368657810171,0.198780007343599,-0.114952101908098,0.853961416636012,0.686757393836809,0.200269669752715,-0.344410922555557,0.570312997907155,-0.64949817488737,0.235560506609091,0.215291250536982,0.728015209190119,0.984171554142873,0.00238483011745003,-0.285097464726421,0.641981838625944,-0.852692750315887,0.0663488339258042,0.0782680645319112,0.900447843745468
"ENSG00000136514","black",-0.256315803966805,0.677258078977139,-0.104045123232245,0.867765038679338,0.764814711699378,0.131977986503696,-0.110600016097034,0.859467309161359,-0.654517069655167,0.230715351125051,0.128829104490862,0.836424559473872,0.731614362727247,0.16001698051071,-0.123812255479914,0.842761034622533,-0.987443159640258,0.00168591129157313,0.203244252783416,0.743014199925053,0.687359109695856,0.199712999076413,-0.363796954240332,0.547229720812524
"ENSG00000140557","black",-0.25507636193485,0.678783724815476,-0.033564599592601,0.957272250080407,0.764544440017147,0.132199741491343,-0.111813454185488,0.857931895062629,-0.52243650051925,0.366451194032977,0.291817550233816,0.633789282675214,0.797453804452812,0.106038675664616,-0.339977117803055,0.575617477527571,-0.977580808363985,0.00401603874664872,0.0479456617420524,0.938977084282657,0.741578659848407,0.151436562931305,-0.214553088878292,0.728933102441045
